timestamp;message
1677056151976;setting manual 0 0
1677056152975;setting manual 0 0
1677056153066;
1677056153975;
1677056154976;
1677056155976;
1677056156976;
1677056157973;
1677056158974;
1677056159978;
1677056160978;setting manual 0 0
1677056161975;setting manual 0 0
1677056162978;setting manual 0 0
1677056163976;setting manual 0 0
1677056164976;setting manual 0 0
1677056165978;setting manual 0 0
1677056166140;
1677056166977;
1677056167983;
1677056168976;
1677056169973;
1677056170972;
1677056171972;
1677056172973;setting manual 0 0
1677056173974;setting manual 0 0
1677056174976;setting manual 0 0
